Symbol,Price_RMSE,Direction_Accuracy,Signal_Accuracy
WW,0.8004357558756947,88.88888888888889,33.33333333333333
SENS,0.15279402102567133,77.77777777777779,77.77777777777779
GME,0.056049160727067955,69.56521739130434,86.95652173913044
AAPL,0.09643549496878775,60.86956521739131,43.47826086956522
AMC,0.06844823867268605,56.52173913043478,34.78260869565217
